GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|GOVEMPFUNCT|GOVEMPFUNCT_TTL|EMPFT|EMPFT_F|PAYANNFT|PAYANNFT_F|EMPPT|EMPPT_F|PAYANNPT|PAYANNPT_F|HRSPT|HRSPT_F|EMPFTE|EMPFTE_F|EMP|EMP_F|PAYANN|PAYANN_F
02|04|0400000US04|Arizona||2016|1100|Police Protection Total|1919||9908158||44||64438||2236||1932||1963||9972596|
02|04|0400000US04|Arizona||2016|1101|Police Protection - Persons with Power of Arrest|1167||6524526||0||0||0||1167||1167||6524526|
02|04|0400000US04|Arizona||2016|1102|Police Protection - Other|752||3383632||44||64438||2236||765||796||3448070|
02|04|0400000US04|Arizona||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1140|Corrections|9687||34871803||13||43237||1228||9694||9700||34915040|
02|04|0400000US04|Arizona||2016|1160|Highways|2551||11538886||16||31195||877||2556||2567||11570081|
02|04|0400000US04|Arizona||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1220|Public Welfare|6131||21019252||98||208075||11122||6193||6229||21227327|
02|04|0400000US04|Arizona||2016|1240|Health|2128||9508279||32||99223||3096||2147||2160||9607502|
02|04|0400000US04|Arizona||2016|1260|Hospitals|639||2749337||11||42499||892||644||650||2791836|
02|04|0400000US04|Arizona||2016|1280|Social Insurance Administration|1902||5876843||41||63008||4065||1925||1943||5939851|
02|04|0400000US04|Arizona||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1340|Parks and Recreation|334||928300||0||0||0||334||334||928300|
02|04|0400000US04|Arizona||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1380|Natural Resources|1385||6039618||211||322928||20041||1498||1596||6362546|
02|04|0400000US04|Arizona||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1420|Electric Power|5||39312||0||0||0||5||5||39312|
02|04|0400000US04|Arizona||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1480|Education Total|25512||156036159||30369||32749901||2024781||36952||55881||188786060|
02|04|0400000US04|Arizona||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1482|Education - Higher Education Total|22887||146099746||29999||32068911||1988259||34120||52886||178168657|
02|04|0400000US04|Arizona||2016|14821|Education - Higher Education Instructional|7784||62947672||10785||14603133||719700||11850||18569||77550805|
02|04|0400000US04|Arizona||2016|14822|Education - Higher Education Other|15103||83152074||19214||17465778||1268559||22270||34317||100617852|
02|04|0400000US04|Arizona||2016|1483|Education - Other|2625||9936413||370||680990||36522||2832||2995||10617403|
02|04|0400000US04|Arizona||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|04|0400000US04|Arizona||2016|1580|All other and unallocable|3046||14713466||167||208116||7518||3087||3213||14921582|
02|05|0400000US05|Arkansas||2016|1000|Total - All Government Employment Functions|56651||235293556||16428||15279572||1029948||62476||73079||250573128|
02|05|0400000US05|Arkansas||2016|1020|Financial Administration|2289||9079460||13||16530||1302||2296||2302||9095990|
02|05|0400000US05|Arkansas||2016|1040|Other Government Administration|704||3302453||139||228763||12302||774||843||3531216|
02|05|0400000US05|Arkansas||2016|1060|Judicial and Legal|1528||6033704||139||430157||12470||1599||1667||6463861|
02|05|0400000US05|Arkansas||2016|1100|Police Protection Total|1207||4679349||16||17823||1182||1214||1223||4697172|
02|05|0400000US05|Arkansas||2016|1101|Police Protection - Persons with Power of Arrest|542||2502761||0||0||0||542||542||2502761|
02|05|0400000US05|Arkansas||2016|1102|Police Protection - Other|665||2176588||16||17823||1182||672||681||2194411|
02|05|0400000US05|Arkansas||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1140|Corrections|5557||18014665||6||9459||463||5559||5563||18024124|
02|05|0400000US05|Arkansas||2016|1160|Highways|3733||13965465||23||49201||4473||3758||3756||14014666|
02|05|0400000US05|Arkansas||2016|1180|Air Transportation|5||24409||0||0||0||5||5||24409|
02|05|0400000US05|Arkansas||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1220|Public Welfare|4157||13056102||88||117227||5791||4190||4245||13173329|
02|05|0400000US05|Arkansas||2016|1240|Health|3360||13019224||148||288887||9211||3413||3508||13308111|
02|05|0400000US05|Arkansas||2016|1260|Hospitals|6314||24281512||492||977928||63039||6671||6806||25259440|
02|05|0400000US05|Arkansas||2016|1280|Social Insurance Administration|1138||4245628||9||66537||1151||1145||1147||4312165|
02|05|0400000US05|Arkansas||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1340|Parks and Recreation|746||2113099||0||0||0||746||746||2113099|
02|05|0400000US05|Arkansas||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1380|Natural Resources|1762||6635149||339||300539||23478||1894||2101||6935688|
02|05|0400000US05|Arkansas||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1480|Education Total|22335||109735410||14988||12739480||893233||27384||37323||122474890|
02|05|0400000US05|Arkansas||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1482|Education - Higher Education Total|21040||104772651||14976||12715325||892135||26082||36016||117487976|
02|05|0400000US05|Arkansas||2016|14821|Education - Higher Education Instructional|6410||48483855||5523||6739928||380248||8556||11933||55223783|
02|05|0400000US05|Arkansas||2016|14822|Education - Higher Education Other|14630||56288796||9453||5975397||511887||17526||24083||62264193|
02|05|0400000US05|Arkansas||2016|1483|Education - Other|1295||4962759||12||24155||1098||1302||1307||4986914|
02|05|0400000US05|Arkansas||2016|1500|Libraries|45||158704||0||0||0||45||45||158704|
02|05|0400000US05|Arkansas||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|05|0400000US05|Arkansas||2016|1580|All other and unallocable|1771||6949223||28||37041||1853||1783||1799||6986264|
02|06|0400000US06|California||2016|1000|Total - All Government Employment Functions|345411||2432641422||175986||393539495||12259294||414679||521397||2826180917|
02|06|0400000US06|California||2016|1020|Financial Administration|25384||135063386||3027||6200054||344245||27328||28411||141263440|
02|06|0400000US06|California||2016|1040|Other Government Administration|3751||22327842||344||1004881||33416||3952||4095||23332723|
02|06|0400000US06|California||2016|1060|Judicial and Legal|6127||43263674||442||1110524||35790||6329||6569||44374198|
02|06|0400000US06|California||2016|1100|Police Protection Total|11176||93852828||268||211620||6994||11216||11444||94064448|
02|06|0400000US06|California||2016|1101|Police Protection - Persons with Power of Arrest|7660||78062686||219||120025||2601||7675||7879||78182711|
02|06|0400000US06|California||2016|1102|Police Protection - Other|3516||15790142||49||91595||4393||3541||3565||15881737|
02|06|0400000US06|California||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1140|Corrections|56038||405163625||1771||7213489||211708||57234||57809||412377114|
02|06|0400000US06|California||2016|1160|Highways|18116||145914441||925||4447733||139534||18904||19041||150362174|
02|06|0400000US06|California||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1220|Public Welfare|3790||19564596||300||623506||26822||3941||4090||20188102|
02|06|0400000US06|California||2016|1240|Health|14629||95076650||1821||5816641||199843||15758||16450||100893291|
02|06|0400000US06|California||2016|1260|Hospitals|31803||275233886||19526||139998035||2607679||46536||51329||415231921|
02|06|0400000US06|California||2016|1280|Social Insurance Administration|13044||68046009||1187||3354698||142575||13850||14231||71400707|
02|06|0400000US06|California||2016|1300|Solid Waste Management|661||4139588||79||194418||8802||711||740||4334006|
02|06|0400000US06|California||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1340|Parks and Recreation|2054||11261434||2155||3546606||234853||3381||4209||14808040|
02|06|0400000US06|California||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1380|Natural Resources|14454||90412320||2824||5609083||369133||16538||17278||96021403|
02|06|0400000US06|California||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1480|Education Total|124891||899398601||139461||209346490||7755686||168709||264352||1108745091|
02|06|0400000US06|California||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1482|Education - Higher Education Total|120797||877460524||138917||208388731||7711525||164365||259714||1085849255|
02|06|0400000US06|California||2016|14821|Education - Higher Education Instructional|27212||257780779||35028||70910972||2307707||40250||62240||328691751|
02|06|0400000US06|California||2016|14822|Education - Higher Education Other|93585||619679745||103889||137477759||5403818||124115||197474||757157504|
02|06|0400000US06|California||2016|1483|Education - Other|4094||21938077||544||957759||44161||4344||4638||22895836|
02|06|0400000US06|California||2016|1500|Libraries|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1560|State liquor stores|0||0||0||0||0||0||0||0|
02|06|0400000US06|California||2016|1580|All other and unallocable|19493||123922542||1856||4861717||142214||20292||21349||128784259|
02|08|0400000US08|Colorado||2016|1000|Total - All Government Employment Functions|60312||344772892||48392||92118209||4544115||87844||108704||436891101|
02|08|0400000US08|Colorado||2016|1020|Financial Administration|1920||10125413||66||134302||7256||1961||1986||10259715|
02|08|0400000US08|Colorado||2016|1040|Other Government Administration|451||2201892||161||426999||24135||587||612||2628891|
02|08|0400000US08|Colorado||2016|1060|Judicial and Legal|4702||27347959||489||1240076||69783||5096||5191||28588035|
02|08|0400000US08|Colorado||2016|1100|Police Protection Total|1257||7518707||17||40380||1390||1265||1274||7559087|
02|08|0400000US08|Colorado||2016|1101|Police Protection - Persons with Power of Arrest|754||4798490||0||0||0||754||754||4798490|
02|08|0400000US08|Colorado||2016|1102|Police Protection - Other|503||2720217||17||40380||1390||511||520||2760597|
02|08|0400000US08|Colorado||2016|1120|Fire Protection Total|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1121|Fire Protection - Firefighters|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1122|Fire Protection - Other|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1140|Corrections|7358||31499268||55||207915||8830||7409||7413||31707183|
02|08|0400000US08|Colorado||2016|1160|Highways|2969||14467365||163||308921||17443||3068||3132||14776286|
02|08|0400000US08|Colorado||2016|1180|Air Transportation|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1200|Water Transport and Terminals|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1220|Public Welfare|2244||10352125||272||538209||30390||2416||2516||10890334|
02|08|0400000US08|Colorado||2016|1240|Health|1298||7652638||135||340851||19251||1407||1433||7993489|
02|08|0400000US08|Colorado||2016|1260|Hospitals|5125||22860230||1085||6302053||263122||6750||6210||29162283|
02|08|0400000US08|Colorado||2016|1280|Social Insurance Administration|951||4627859||149||413859||23369||1083||1100||5041718|
02|08|0400000US08|Colorado||2016|1300|Solid Waste Management|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1320|Sewerage|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1340|Parks and Recreation|896||4547424||236||249846||14107||976||1132||4797270|
02|08|0400000US08|Colorado||2016|1360|Housing and Community Development|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1380|Natural Resources|994||5500141||266||532610||27943||1152||1260||6032751|
02|08|0400000US08|Colorado||2016|1400|Water Supply|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1420|Electric Power|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1440|Gas Supply|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1460|Transit|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1480|Education Total|27702||182153449||45220||81143072||4024678||52159||72922||263296521|
02|08|0400000US08|Colorado||2016|1481|Education - Elementary and Secondary Total|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|14811|Education - Elementary and Secondary Instructional|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|14812|Education - Elementary and Secondary Other|0||0||0||0||0||0||0||0|
02|08|0400000US08|Colorado||2016|1482|Education - Higher Education Total|26529||175864367||44069||79775092||3933826||50472||70598||255639459|
02|08|0400000US08|Colorado||2016|14821|Education - Higher Education Instructional|9720||89324244||15897||44405005||1756409||20539||25617||133729249|
