ACSSF HI040000000001     15                                                                                                                                                       04000US15                               Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF HI040010000002     15                                                                                                                                U                      04001US15                               Hawaii -- Urban                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040430000003     15                                                                                                                                R                      04043US15                               Hawaii -- Rural                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040A00000004     15                                                                                                                                                       040A0US15                               Hawaii -- In metropolitan or micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI040C00000005     15                                                              1                                                                                        040C0US15                               Hawaii -- In metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI040C10000006     15                                                              1                                                                  Y                     040C1US15                               Hawaii -- In metropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040C20000007     15                                                              1                                                                                        040C2US15                               Hawaii -- In metropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI040E00000008     15                                                              2                                                                                        040E0US15                               Hawaii -- In micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ACSSF HI040E10000009     15                                                              2                                                                  Y                     040E1US15                               Hawaii -- In micropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI040E20000010     15                                                              2                                                                                        040E2US15                               Hawaii -- In micropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI040H00000011     15                                                                                                                                                       040H0US15                               Hawaii -- Not in metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF HI050000000012     15001                                                                                                                                                    05000US15001                            Hawaii County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI050000000013     15003                                                                                                                                                    05000US15003                            Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF HI050000000014     15005                                                                                                                                                    05000US15005                            Kalawao County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF HI050000000015     15007                                                                                                                                                    05000US15007                            Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF HI050000000016     15009                                                                                                                                                    05000US15009                            Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI060000000031     1500391710                                                                                                                                               06000US1500391710                       Koolauloa CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF HI060000000032     1500391800                                                                                                                                               06000US1500391800                       Koolaupoko CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF HI060000000033     1500393420                                                                                                                                               06000US1500393420                       Wahiawa CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF HI060000000034     1500393510                                                                                                                                               06000US1500393510                       Waialua CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF HI060000000035     1500393600                                                                                                                                               06000US1500393600                       Waianae CCD, Honolulu County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF HI060000000036     1500590990                                                                                                                                               06000US1500590990                       Kalawao CCD, Kalawao County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF HI060000000037     1500790180                                                                                                                                               06000US1500790180                       Eleele-Kalaheo CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ACSSF HI060000000038     1500790540                                                                                                                                               06000US1500790540                       Hanalei CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF HI060000000039     1500791080                                                                                                                                               06000US1500791080                       Kapaa CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI060000000040     1500791260                                                                                                                                               06000US1500791260                       Kaumakani-Hanapepe CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF HI060000000041     1500791440                                                                                                                                               06000US1500791440                       Kekaha-Waimea CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF HI060000000042     1500791620                                                                                                                                               06000US1500791620                       Koloa-Poipu CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI060000000043     1500792160                                                                                                                                               06000US1500792160                       Lihue CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF HI060000000044     1500792340                                                                                                                                               06000US1500792340                       Niihau CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF HI060000000045     1500792970                                                                                                                                               06000US1500792970                       Puhi-Hanamaulu CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ACSSF HI060000000046     1500793780                                                                                                                                               06000US1500793780                       Wailua-Anahola CCD, Kauai County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ACSSF HI060000000047     1500990090                                                                                                                                               06000US1500990090                       East Molokai CCD, Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF HI060000000048     1500990360                                                                                                                                               06000US1500990360                       Haiku-Pauwela CCD, Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF HI060000000049     1500990450                                                                                                                                               06000US1500990450                       Hana CCD, Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF HI060000000050     1500990900                                                                                                                                               06000US1500990900                       Kahului CCD, Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF HI060000000051     1500991530                                                                                                                                               06000US1500991530                       Kihei CCD, Maui County, Hawaii                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
